,NTA,Count,Male_Prct,Female_Prct,Med_Age,His_Prct,Wht_Prct,Blk_Prct,Asi_Prct,Emp_Prct,Med_Icm,Ins_Prct,Bl_Pvt_Prct,M_Mrg_Prct,F_Mrg_Prct,Bf_Hs_Prct,Af_Hs_Prct,Vtr_Prct,Dis_Prct,Citi_Prct
0,Allerton-Pelham Gardens,14091,0.47700000000000004,0.523,40.5,0.314,0.26,0.313,0.085,0.083,61638.0,0.909,0.129,0.45299999999999996,0.38,0.217,0.248,0.037000000000000005,0.131,0.642
1,Annadale-Huguenot-Prince's Bay-Eltingville,9225,0.505,0.495,41.3,0.063,0.895,0.005,0.03,0.033,88288.0,0.9620000000000001,0.07,0.5529999999999999,0.562,0.08800000000000001,0.32,0.05,0.081,0.8009999999999999
2,Arden Heights,6532,0.495,0.505,40.9,0.11900000000000001,0.7959999999999999,0.013999999999999999,0.063,0.05,89570.0,0.9640000000000001,0.053,0.616,0.5670000000000001,0.08900000000000001,0.33899999999999997,0.068,0.081,0.867
3,Astoria,34609,0.5,0.5,35.3,0.275,0.514,0.046,0.14,0.069,54882.0,0.813,0.161,0.379,0.34700000000000003,0.161,0.43,0.025,0.091,0.516
4,Auburndale,5528,0.48,0.52,42.0,0.10800000000000001,0.419,0.01,0.43799999999999994,0.048,70772.0,0.873,0.08,0.632,0.531,0.155,0.37,0.045,0.08199999999999999,0.6809999999999999
5,Baisley Park,22271,0.462,0.5379999999999999,34.4,0.131,0.009000000000000001,0.727,0.05,0.081,59357.0,0.8740000000000001,0.149,0.4,0.327,0.168,0.168,0.038,0.115,0.581
6,Bath Beach,11944,0.509,0.491,38.8,0.152,0.47200000000000003,0.012,0.35200000000000004,0.045,55193.0,0.884,0.158,0.5670000000000001,0.535,0.251,0.301,0.032,0.111,0.618
7,Bay Ridge,35817,0.47600000000000003,0.524,38.9,0.168,0.643,0.017,0.14300000000000002,0.054000000000000006,57980.0,0.8959999999999999,0.17,0.504,0.434,0.142,0.43,0.035,0.096,0.624
8,Bayside-Bayside Hills,13058,0.48,0.52,42.5,0.149,0.415,0.017,0.386,0.054000000000000006,79120.0,0.893,0.073,0.561,0.514,0.115,0.423,0.035,0.086,0.693
9,Bedford,53692,0.483,0.517,28.8,0.193,0.306,0.45399999999999996,0.027000000000000003,0.084,37343.0,0.89,0.34299999999999997,0.325,0.264,0.225,0.284,0.027999999999999997,0.102,0.522
10,Bedford Park-Fordham North,44154,0.485,0.515,31.9,0.7170000000000001,0.07,0.157,0.042,0.1,29549.0,0.8220000000000001,0.335,0.28600000000000003,0.251,0.341,0.127,0.022000000000000002,0.125,0.386
11,Bellerose,7221,0.485,0.515,40.0,0.198,0.306,0.057,0.39799999999999996,0.040999999999999995,77863.0,0.91,0.105,0.573,0.5429999999999999,0.128,0.36200000000000004,0.044000000000000004,0.10800000000000001,0.7
12,Belmont,21353,0.46,0.54,24.7,0.603,0.21100000000000002,0.151,0.017,0.062,21924.0,0.83,0.461,0.264,0.201,0.391,0.11,0.015,0.132,0.311
13,Bensonhurst East,19746,0.491,0.509,39.9,0.109,0.49,0.006999999999999999,0.377,0.059000000000000004,45108.0,0.856,0.156,0.5760000000000001,0.5329999999999999,0.278,0.264,0.025,0.10300000000000001,0.585
14,Bensonhurst West,27843,0.48700000000000004,0.513,38.1,0.151,0.449,0.006999999999999999,0.381,0.063,46137.0,0.86,0.193,0.555,0.507,0.29600000000000004,0.23,0.023,0.10300000000000001,0.535
15,Borough Park,23705,0.51,0.49,25.5,0.10300000000000001,0.7559999999999999,0.006,0.129,0.035,35754.0,0.9009999999999999,0.373,0.596,0.591,0.284,0.184,0.009000000000000001,0.077,0.507
16,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,732,0.49,0.51,43.4,0.111,0.779,0.079,0.021,0.044000000000000004,74718.0,0.925,0.076,0.516,0.478,0.11800000000000001,0.371,0.068,0.155,0.63
17,Briarwood-Jamaica Hills,13519,0.488,0.512,37.5,0.258,0.19399999999999998,0.10800000000000001,0.386,0.087,58564.0,0.8009999999999999,0.158,0.498,0.456,0.157,0.415,0.02,0.09,0.5770000000000001
18,Brighton Beach,15303,0.469,0.531,45.4,0.124,0.687,0.013000000000000001,0.152,0.042,30872.0,0.88,0.281,0.555,0.46799999999999997,0.12,0.401,0.016,0.2,0.6779999999999999
19,Bronxdale,20873,0.498,0.502,34.3,0.513,0.11900000000000001,0.304,0.046,0.091,36859.0,0.816,0.258,0.35600000000000004,0.297,0.27,0.184,0.031,0.16899999999999998,0.43700000000000006
20,Brooklyn Heights-Cobble Hill,9276,0.49,0.51,36.7,0.08900000000000001,0.7340000000000001,0.057,0.078,0.037000000000000005,105398.0,0.93,0.1,0.47200000000000003,0.439,0.022000000000000002,0.7859999999999999,0.024,0.08,0.461
21,Brownsville,68797,0.408,0.5920000000000001,29.7,0.187,0.009000000000000001,0.782,0.009000000000000001,0.078,25041.0,0.875,0.4,0.281,0.185,0.272,0.09699999999999999,0.02,0.11599999999999999,0.526
22,Bushwick North,33773,0.504,0.496,29.2,0.7170000000000001,0.121,0.095,0.06,0.091,42296.0,0.6920000000000001,0.31,0.307,0.278,0.45899999999999996,0.192,0.012,0.065,0.255
23,Bushwick South,51647,0.478,0.522,31.0,0.59,0.11599999999999999,0.25,0.03,0.09699999999999999,37285.0,0.8029999999999999,0.278,0.298,0.245,0.342,0.203,0.021,0.102,0.39299999999999996
24,Cambria Heights,7288,0.452,0.5479999999999999,44.9,0.039,0.016,0.9109999999999999,0.013000000000000001,0.040999999999999995,79888.0,0.895,0.048,0.469,0.384,0.10099999999999999,0.295,0.059000000000000004,0.094,0.725
25,Carroll Gardens-Columbia Street-Red Hook,23496,0.475,0.525,36.1,0.209,0.603,0.10300000000000001,0.055,0.06,85496.0,0.9109999999999999,0.151,0.455,0.387,0.11699999999999999,0.609,0.031,0.106,0.475
26,Central Harlem North-Polo Grounds,74597,0.461,0.539,34.1,0.23800000000000002,0.079,0.623,0.028999999999999998,0.106,34413.0,0.847,0.302,0.239,0.196,0.214,0.28800000000000003,0.033,0.153,0.45
27,Central Harlem South,50427,0.456,0.544,34.3,0.19699999999999998,0.187,0.5489999999999999,0.042,0.049,48366.0,0.8909999999999999,0.273,0.318,0.245,0.168,0.433,0.026000000000000002,0.10300000000000001,0.48
28,Charleston-Richmond Valley-Tottenville,8992,0.509,0.491,38.3,0.124,0.807,0.018000000000000002,0.04,0.037000000000000005,90788.0,0.937,0.055,0.5529999999999999,0.574,0.087,0.342,0.04,0.07,0.752
29,Chinatown,33812,0.516,0.484,39.6,0.136,0.16699999999999998,0.040999999999999995,0.618,0.053,35908.0,0.848,0.29,0.40299999999999997,0.389,0.387,0.315,0.012,0.111,0.535
